CmpdID,neuSmi,y_true
9370,Cc1oc(=O)oc1CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1,4
7174,COc1ccc2ncc(F)c(C(=O)CC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,5.675
5433,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,6.738006113
7858,Cc1c(C(O)CN2CCN(CC(O)c3ncc(C#N)cc3Cl)CC2)ccc2c1COC2=O,5.02
6422,COc1cc(-c2cn(CC(=O)N(Cc3ccccc3)C(C)c3ccccc3)nn2)ccc1-n1cnc(C)c1,6.37
8048,Cc1cc(C#N)ccc1-c1ccnc(NCc2cc(-c3ccccn3)[nH]n2)c1,5.96
9833,FCCOc1ccc(CCC2CCN(CCc3ccccc3Cl)CC2)cc1,5.66
3351,CCCCCCCCCCCCCCCO,4
9346,Cc1noc(C)c1-c1cnc2c3ccc(C(C)(C)O)cc3n(C(c3ccccc3)C3CCOCC3)c2c1,4.29
8541,Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4ccc(F)cc4)oc3C)c2)cc1,4.42
4540,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,4
11843,O=C(O)c1ccncc1,4
2223,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,4
128,C1CCOC1,4
12109,O=C1CN2CCOC2(c2ccccc2Cl)c2cc(Cl)ccc2N1,4
10966,O=C(C1CC(Oc2cccc(F)c2)CN1)N1CCCN(C2CCC2)CC1,5.26
9050,Cc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)ccnc2cc1C#N,9.06
7671,CSc1ncc(C)nc1C,4
11849,O=C(O)c1nc(Cl)ccc1Cl,4
11166,O=C(Cc1ccc([N+](=O)[O-])cc1)N1CCN(CCc2ccc([N+](=O)[O-])cc2)CC1,7.34
5372,CN1CCC(=C2c3ccccc3CCc3sccc32)CC1,4.988006113
57,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,4
502,CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)CCCC(C)CCCC(C)CCCC(C)C,4
8340,Cc1ccc(-c2cc3ncn(C)c(=O)c3c(NCC3CCCNC3)n2)cc1,4.6
12378,O=C1c2nc3cccc(C(F)(F)F)c3n2CCN1CC1CCC1,4.6
1754,CC(CCO)CC(C)(C)C,4
6528,COc1cc(C2CCC(N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)ccn1,5.21
12844,OC1COC2C(O)COC12,4
1601,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,4.293419074
1405,CC(C)CNC(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,5.5
8522,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,4
369,C=CCCCCCCCC,4
1946,CC(c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12)N(C)c1cc(F)cc(F)c1,4.72
5165,CN(C)c1ccc(-c2cc3nccnc3c(NCCCCN)n2)cn1,4.4
2268,CC1=CCCC(C)(C)C12CCC(C)O2,4
10880,Nc1nc(N2CCC(N3Cc4cnccc4OCC3Cc3ccc(Cl)cc3)CC2)n[nH]1,4.77
7251,COc1ccc2nccc(CCC3OCC(NCc4cc5c(cn4)OCCO5)CO3)c2c1,5.02
5027,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4CC3CC12,4
2638,CCC(=NOCC=CCl)C1=C(O)CC(C2CCOCC2)CC1=O,4
1316,CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,4.464264592
13107,Sc1ccccc1Cl,4
7478,COc1nc(-c2csc(Nc3c4c(nn3CCF)CCCC4)n2)ccc1-n1cnc(C)c1,4.94
9856,Fc1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)C(C4CCCCC4)N3)n2)nc1,6.77
2714,CCC(C)(C#N)N=NC(C)(C#N)CC,4
1987,CC1(C)C(=O)C(C)(C)C1=O,4
12824,OC1(c2ccc(F)cc2)CCN(c2ccc3nnc(C(F)(F)F)n3n2)CC1,4.74
11464,O=C(Nc1c[nH]c2ncc(-c3ccccc3F)cc12)c1cnn2ccc(NCC3CCNCC3F)nc12,5.3
10968,O=C(C1CC12CCN(C1CCCCC1)CC2)N1CCN(C2CCCCC2)CC1,4.68
11079,O=C(CN1CCCC2=C1C(=O)N(C1CC1)C2=O)Nc1ccc(-c2cccnc2)nn1,4.32
7690,C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1,4
10144,N#Cc1ccncc1,4
