CmpdID,neuSmi,y_true
10379,CCCCC=O,4
2898,Cc1nn(CCOCC(F)(F)F)c2c(Nc3ccncn3)nc(N3CCN[C@H](C)C3)nc12,6.05
9474,CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,4
7009,CCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1,5.85634646
13562,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4
8718,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,4
12231,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,4
12190,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2n1,4
10736,CCCCOC(=O)c1ccc(N)cc1,4
2097,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)N(C)CCO)c34)cc2C)cn1,4.92
13794,CC(CCCCN)C(C)(C)N,4
6906,C[C@]12CC[C@@H]3c4ccc(OCCCN5CCCC5)cc4CC[C@H]3[C@@H]1CC[C@@H]2N1CCCC1,5.12
9200,CC(C)=CCC/C(C)=C/COC=O,4
11231,CC/C=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(COC(N)=O)CS[C@H]12)c1csc(N)n1,4
141,C[C@@H]1CCCN1CCc1ccc(-c2ccc(S(=O)(=O)N3CCC(O)C3)cc2)cc1,5.16
9295,C=CC(C)(CCC=C(C)C)OC(=O)CC(C)C,4
5513,CCN(c1ncc(C(N)=O)c2sc(-c3ccccc3)cc12)[C@H]1CCCNC1,5.62
11020,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,4
3529,C[S+](O)c1ccc(-c2cnc3ccc(Nc4cnccn4)nn23)cc1,5.11
2863,Cc1c(C(C)CN2CCN(C(=O)Cc3ccc(-n4cnnn4)nc3)CC2)ccc2c1COC2=O,4.415
4254,CCOc1ccc2cc(-c3nn(CC(C)(C)CO)c(N)c3C(N)=O)ccc2c1,4.52
15,Nc1nccn1CC(O)c1ccc(Cl)cc1F,4.22
11058,CCOC(=S)SSC(=S)OCC,4
5955,Cc1ccc(C23CC2CN(CCCSc2nnc(-c4ocnc4C)n2C)C3)c(F)c1,5.2
5385,CNc1nc2ccccc2n1-c1nc(N2CCOC[C@H]2C)cc(C2([S@](C)(=N)=O)CC2)n1,4.82
12497,NC(=O)CC[C@@H](N)C(=O)O,4
12764,Nc1nc2ccc(OC(F)(F)F)cc2s1,4
2686,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccn(C)c(=O)c1,5.1
11504,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,4
5024,CC(C)Cc1cc(C(=O)NCC2C3CN(CCC(C)(C)C)CC23)nn1-c1ccccc1,5.5
5085,Cn1nnc([C@H]2[C@@H]3CN(C(=O)c4ccc(C[C@@H]5CC[C@H]([C@H](O)c6ccccc6)N5)cc4)C[C@@H]32)n1,4.77
11876,CNc1ccc([N+](=O)[O-])cc1,4
10286,CCCC(=O)Cl,4
4298,Cc1nn(-c2ccnc(Nc3ccc4c(c3)c(C(=O)C(F)(F)F)cn4C)n2)cc1N[C@@H]1CCOC[C@@H]1N,5.33
7266,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,4.921339446
10825,CCCSC(=O)N(CCC)CCC,4
8358,O=C(/C=C/c1ccc([N+](=O)[O-])cc1)c1ccccc1,4
12383,CSSC,4
320,COCc1ccc(-c2cc3c(N[C@@H](C)c4ccn(C)n4)c(C(N)=O)cnc3cc2F)c(F)n1,4.62
5732,COc1cc(-c2nc3n(n2)CCC[C@@H]3c2ccc(F)cc2C)ccc1-n1cnc(C)c1,6.1
2574,C[C@H]1[C@@H](c2ccc(OCCCN3CCCC3)cc2)Oc2ccccc2S1(=O)=O,6.36
3276,COc1ccc2nccc(NC(=O)[C@H]3CC[C@H](NCc4ccc5c(c4)OCCO5)CC3)c2c1,4.6
9595,C=C1CCC2CC1C2(C)C,4
11161,CCOP(=S)(OCC)SCSCC,4
12168,COc1ccc(COC(C)=O)cc1,4
8917,CC(=O)Nc1ccc(C)cc1,4
5299,CC(C)Cc1ccc2nn(C)cc2c1NS(=O)(=O)c1ccc(CCCOC[C@H]2COCCN2C)cc1,5.51
11563,Clc1ccc2[nH]nnc2c1,4
7249,Cc1[nH]nc2c1N=C(c1ccccc1Cl)c1cc([N+](=O)[O-])ccc1N2,4.943436785
12539,NC(=O)c1ccncc1,4
637,CN1CCN[C@@H](C(=O)N2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1,4.7
13453,Oc1ccc(I)cc1,4
3014,CNc1noc2c(-c3ccc4c(N5CCOC[C@@H]5C)nncc4c3)c(C)ccc12,4.89
11444,Cl/C=C\Cl,4
11035,CCOC(=O)CN1CCCC1=O,4
11586,ClCC(Cl)CCl,4
1596,CCN(CC)C(=O)C1CCCN(C(=O)CC2CCN(Cc3ccn(-c4ccc(C(F)(F)F)cc4)c3)CC2)C1,4.8
2639,CO[C@@H]1COCC[C@@H]1N[C@@H]1CC[C@@](C(=O)N2CCN(c3cncc(C(F)(F)F)n3)CC2)(C(C)C)C1,5.12
2892,CC[C@H](NC(=O)c1ccc(Cl)cc1)[C@@H]1[C@@H]2C[C@@H](n3cnc4ccc(F)cc43)C[C@@H]21,4.85
9070,CC(C)(C)c1ccc(O)cc1,4
8375,O=C1OC(=O)c2cc([N+](=O)[O-])ccc21,4
10232,CCc1cccc2c(CCO)c[nH]c12,4
9680,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,4
6912,Clc1ccc(CCCOCCCN2CCCCC2)cc1,5.77
9496,CC(O)CN,4
7292,CCOC(=O)COC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],4.860103451
9990,Cc1ccn2nc(S(=O)(=O)Nc3c(F)cccc3F)nc2n1,4
917,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CCCC(C(=O)N2CCCC2)C1,4.51
8004,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,4
5563,CNCc1ccc(Cl)cc1Oc1ccc(C)c(Cl)c1,5.97
261,CC1(C)Cc2c(CN3CCC4(CC3)CCN(C(=O)c3ccc(N)cn3)CC4)cccc2O1,4.835
7489,CCCCOc1ccc(OCCCN2CCOCC2)cc1,4.646339446
7476,O=C(N=NC(=O)OCc1ccccc1)OCc1ccccc1,4.660103451
2178,COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc2cccc(C(F)(F)F)c2)CC1,5.55
4542,C[C@@H]1CCCN1CCc1ccc2nc(-c3nc4ccccc4s3)ccc2c1,5.7
11935,COC(=O)C(C)O,4
5006,CCC(NCCCC[C@@H](Cc1cc(C)c(F)c(C)c1)C(=O)NO)c1ccc(F)cc1,4.88
6208,NC(=O)c1cc(Cl)c2c(Cl)c(C3CC3)n([C@H]3CCCNC3)c2n1,5.54
13677,Oc1ccc(C(O)CNCCCCCCNCC(O)c2ccc(O)c(O)c2)cc1O,4
